"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"depth",0.477922279577364,0.107654851677379,0.205653990861782,0.348001431265628,0.237126597288914,0.613473806763066,0.404997571285814
"ug_ml",-0.50127608076447,0.307358207845649,-0.0481600995756374,-0.127850444636517,-0.118875371391549,-0.0482558953317654,0.786846939487397
"corralite_diameter_cm",0.459179188195748,0.0513996488136875,-0.207607180809651,0.386351225727647,0.0324928336169911,-0.716035822194129,0.283516234425921
"columnella_diameter_cm",0.0958886659089857,-0.342651380159499,-0.871425902141562,-0.15934143782906,0.04279082717886,0.260214568714806,0.138130090965854
"septa_height",0.373100689299165,0.330092087366465,-0.0648333436003777,-0.1831742873441,-0.834169077875591,0.12797790572399,-0.0431568381465006
"distance_between_polyp",0.185973129763214,-0.735196148988413,0.384767515910622,-0.336400413686924,-0.196863953376053,-0.101454261442078,0.338586701726915
"septa_width",0.355643491527176,0.352725543627775,0.0255693696067123,-0.735645462393318,0.438359803340735,-0.119293859969623,0.0297324165433289
