frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
cc_20_mcav_7,coral_city,20,7,montastrea_cavernosa,1.373,0.296,0.306,0.022,1.066992515
cc_20_mcav_8,coral_city,20,8,montastrea_cavernosa,1.862,0.663,0.482,0.024,1.066992515
cc_20_mcav_8,coral_city,20,8,montastrea_cavernosa,1.552,0.434,0.576,0.019,1.066992515
cc_20_mcav_8,coral_city,20,8,montastrea_cavernosa,1.273,0.428,0.47,0.038,1.066992515
cc_20_mcav_8,coral_city,20,8,montastrea_cavernosa,1.542,0.712,0.444,0.06,1.066992515
cc_30_mcav_1,coral_city,30,1,montastrea_cavernosa,1.582,0.581,0.539,0.036,1.427042313
cc_30_mcav_1,coral_city,30,1,montastrea_cavernosa,1.167,0.463,0.495,0.015,1.427042313
cc_30_mcav_2,coral_city,30,2,montastrea_cavernosa,0.981,0.304,0.295,0.034,1.427042313
cc_30_mcav_2,coral_city,30,2,montastrea_cavernosa,0.927,0.338,0.242,0.125,1.427042313
cc_30_mcav_2,coral_city,30,2,montastrea_cavernosa,0.818,0.28,0.254,0.059,1.427042313
cc_30_mcav_2,coral_city,30,2,montastrea_cavernosa,0.768,0.295,0.227,0.038,1.427042313
cc_30_mcav_4,coral_city,30,4,montastrea_cavernosa,1.309,0.667,0.262,0.026,1.427042313
cc_30_mcav_4,coral_city,30,4,montastrea_cavernosa,1.229,0.567,0.428,0.036,1.427042313
cc_30_mcav_4,coral_city,30,4,montastrea_cavernosa,1.112,0.535,0.436,0.062,1.427042313
cc_30_mcav_4,coral_city,30,4,montastrea_cavernosa,1.256,0.569,0.451,0.073,1.427042313
cc_30_mcav_5,coral_city,30,5,montastrea_cavernosa,1.293,0.44,0.542,0.034,1.427042313
cc_30_mcav_5,coral_city,30,5,montastrea_cavernosa,1.19,0.48,0.296,0.026,1.427042313
cc_30_mcav_5,coral_city,30,5,montastrea_cavernosa,1.266,0.475,0.519,0.027,1.427042313
cc_30_mcav_5,coral_city,30,5,montastrea_cavernosa,1.233,0.453,0.452,0.054,1.427042313
cc_30_mcav_6,coral_city,30,6,montastrea_cavernosa,1.214,0.39,0.417,0.065,1.427042313
cc_30_mcav_6,coral_city,30,6,montastrea_cavernosa,1.264,0.421,0.413,0.056,1.427042313
cc_30_mcav_6,coral_city,30,6,montastrea_cavernosa,1.243,0.358,0.428,0.045,1.427042313
cc_30_mcav_6,coral_city,30,6,montastrea_cavernosa,0.813,0.533,0.299,0.06,1.427042313
cc_30_mcav_7,coral_city,30,7,montastrea_cavernosa,1.59,0.502,0.581,0.051,1.427042313
cc_30_mcav_7,coral_city,30,7,montastrea_cavernosa,1.233,0.587,0.408,0.058,1.427042313
cc_30_mcav_7,coral_city,30,7,montastrea_cavernosa,1.541,0.418,0.552,0.03,1.427042313
cc_30_mcav_7,coral_city,30,7,montastrea_cavernosa,1.682,0.542,0.523,0.099,1.427042313
cc_30_mcav_8,coral_city,30,8,montastrea_cavernosa,1.255,0.458,0.37,0.056,1.427042313
cc_30_mcav_8,coral_city,30,8,montastrea_cavernosa,1.162,0.437,0.284,0.027,1.427042313
cc_30_mcav_8,coral_city,30,8,montastrea_cavernosa,1.321,0.421,0.353,0.026,1.427042313
