frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.065,0.413,0.382,0.03,1.9254436
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.117,0.346,0.3,0.017,1.9254436
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.109,0.408,0.402,0.05,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.177,0.37,0.465,0.039,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.379,0.426,0.401,0.03,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.217,0.426,0.412,0.088,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,0.889,0.189,0.295,0.125,1.9254436
mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.196,0.35,0.407,0.198,1.9254436
mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.305,0.368,0.489,0.111,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.402,0.582,0.402,0.103,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.494,0.587,0.474,0.031,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.657,0.593,0.647,0.018,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.389,0.731,0.397,0.029,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.407,0.54,0.543,0.023,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.329,0.349,0.391,0.049,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.259,0.581,0.426,0.092,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.189,0.523,0.36,0.037,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.321,0.506,0.381,0.04,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,0.95,0.511,0.282,0.083,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.071,0.563,0.389,0.183,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.12,0.456,0.341,0.187,1.9254436
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.081,0.314,0.199,0.017,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,0.652,0.361,0.227,0.047,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.051,0.519,0.174,0.038,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.113,0.318,0.265,0.066,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.459,0.536,0.469,0.041,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.605,0.562,0.48,0.011,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.609,0.564,0.312,0.017,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.691,0.564,0.454,0.013,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.831,0.629,0.467,0.031,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.412,0.57,0.345,0.064,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.563,0.468,0.431,0.052,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.294,0.564,0.454,0.045,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.489,0.608,0.353,0.075,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.322,0.564,0.264,0.034,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.076,0.477,0.331,0.03,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,0.827,0.387,0.271,0.03,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.967,0.283,0.234,0.019,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.023,0.395,0.298,0.041,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.019,0.384,0.336,0.091,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.714,0.272,0.271,0.034,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.799,0.289,0.243,0.042,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.833,0.258,0.2,0.036,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.871,0.265,0.149,0.051,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.659,0.29,0.215,0.074,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.921,0.255,0.25,0.063,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,1.06,0.253,0.212,0.059,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.906,0.2,0.293,0.038,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.8,0.269,0.293,0.081,2.164571457
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.957,0.341,0.356,0.092,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,1.101,0.414,0.3,0.232,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.954,0.504,0.368,0.138,1.975378643
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.826,0.264,0.287,0.014,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.386,0.426,0.492,0.108,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.813,0.545,0.483,0.144,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.351,0.457,0.384,0.074,1.62338215
