"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6"
"depth",0.409278177101452,0.482883335725018,0.150982101960001,0.532509884463728,0.129646239164091,0.525494565466063
"ug_ml",0.363610806920746,0.423210123748632,-0.181315137074978,-0.790465386288614,0.0507982242667781,0.168490969507354
"corralite_diameter_cm",-0.477642924063274,0.226257679233278,0.0177539589596381,-0.0484085085232702,0.847351823038661,-0.00100045845749996
"columnella_diameter_cm",-0.453883850450034,0.126550664480274,0.697091983338809,-0.244050810311878,-0.317760507671488,0.36263564101656
"septa_height",-0.479842877434127,0.105944980292062,-0.676406854853238,0.0725451023626376,-0.279904106246233,0.46625222815971
"distance_between_polyp",0.18940975478478,-0.713642016906399,0.0234639376234792,-0.156303302715845,0.288597006474187,0.58870154199186
