sample,site,species,depth,six_six_three,six_six_four,six_three_zero,six_four_seven,six_nine_one
CC-PAST 40M 8.1,coral_city,past,40,0.1035,0.10325,0.03275,0.0305,0.01375
MF-PAST 10M 1.1,marthas,past,10,0.1225,0.1225,0.0535,0.0545,0.0305
MF-PAST 10M 2.1,marthas,past,10,0.2335,0.2355,0.1065,0.0895,0.0645
MF-PAST 10M 3.1,marthas,past,10,0.2085,0.2105,0.0915,0.0805,0.0585
MF-PAST 10M 4.1,marthas,past,10,0.3915,0.3965,0.1495,0.1405,0.0635
MF-PAST 10M 5.1,marthas,past,10,0.3495,0.3575,0.1475,0.1545,0.0985
MF-PAST 10M 7.1,marthas,past,10,0.0775,0.0785,0.0275,0.0265,0.0125
MF-PAST 10M 8.1,marthas,past,10,0.1905,0.1935,0.0995,0.1025,0.0815
MF-PAST 20M 1.1,marthas,past,20,0.0795,0.0795,0.0375,0.0385,0.0275
MF-PAST 20M 2.1,marthas,past,20,0.1685,0.1745,0.0615,0.0595,0.0325
MF-PAST 20M 3.1,marthas,past,20,0.0365,0.0365,0.0225,0.0235,0.0175
MF-PAST 20M 4.1,marthas,past,20,0.0915,0.0965,0.0655,0.0725,0.0805
MF-PAST 20M 5.1,marthas,past,20,0.3845,0.3855,0.1155,0.1235,0.1285
MF-PAST 20M 6.1,marthas,past,20,0.1075,0.1075,0.0285,0.0305,0.0065
MF-PAST 20M 7.1,marthas,past,20,0.3195,0.3235,0.1215,0.1245,0.0985
MF-PAST 20M 8.1,marthas,past,20,0.4035,0.4105,0.1315,0.1325,0.0585
MF-PAST 30M 2.1,marthas,past,30,0.1075,0.1065,0.0455,0.0455,0.0225
MF-PAST 30M 3.1,marthas,past,30,0.1215,0.1205,0.0415,0.0445,0.0215
MF-PAST 30M 4.1,marthas,past,30,0.0355,0.0345,0.0175,0.0195,0.0115
MF-PAST 30M 6.1,marthas,past,30,0.4945,0.4925,0.1365,0.1505,0.0375
MF-PAST 30M 7.1,marthas,past,30,0.0955,0.0955,0.0385,0.0345,0.0235
MF-PAST 30M 8.1,marthas,past,30,0.4185,0.4195,0.1185,0.1245,0.0335
MF-PAST 40M 1.1,marthas,past,40,0.2145,0.2165,0.0775,0.0745,0.0335
MF-PAST 40M 2.1,marthas,past,40,0.1465,0.1465,0.0645,0.0615,0.0455
MF-PAST 40M 3.1,marthas,past,40,0.0705,0.0695,0.0385,0.0365,0.0215
MF-PAST 40M 4.1,marthas,past,40,0.1125,0.1135,0.0475,0.0455,0.0225
MF-PAST 40M 5.1,marthas,past,40,0.1565,0.1585,0.0575,0.0555,0.0195
MF-PAST 40M 6.1,marthas,past,40,0.2475,0.2465,0.0855,0.0825,0.0245
MF-PAST 40M 7.1,marthas,past,40,0.0865,0.0865,0.0395,0.0375,0.0175
MF-MCAV 10M 1.1,marthas,mcav,10,0.1205,0.1215,0.0535,0.0495,0.0475
MF-MCAV 10M 2.1,marthas,mcav,10,0.1205,0.1215,0.0495,0.0435,0.0315
MF-MCAV 10M 4.1,marthas,mcav,10,0.0975,0.1215,0.0375,0.0385,0.0365
MF-MCAV 10M 5.1,marthas,mcav,10,0.0575,0.0975,0.0275,0.0275,0.0175
MF-MCAV 10M 6.1,marthas,mcav,10,0.0305,0.0565,0.0165,0.0165,0.0095
MF-MCAV 10M 7.1,marthas,mcav,10,0.1485,0.0305,0.0545,0.0505,0.0245
MF-MCAV 10M 8.1,marthas,mcav,10,0.1585,0.1475,0.0535,0.0555,0.0415
MF-MCAV 20M 2.1,marthas,mcav,20,0.1765,0.1765,0.0695,0.0635,0.0255
MF-MCAV 20M 3.1,marthas,mcav,20,0.1625,0.1625,0.0675,0.0595,0.0385
MF-MCAV 20M 4.1,marthas,mcav,20,0.2255,0.1625,0.0695,0.0785,0.0215
MF-MCAV 20M 5.1,marthas,mcav,20,0.2515,0.2225,0.0925,0.0825,0.0445
MF-MCAV 20M 6.1,marthas,mcav,20,0.0675,0.2505,0.0315,0.0295,0.0255
MF-MCAV 20M 7.1,marthas,mcav,20,0.1825,0.0675,0.1105,0.0555,0.0095
MF-MCAV 20M 8.1,marthas,mcav,20,0.0395,0.1815,0.0215,0.0215,0.0145
MF-MCAV 30M 1.1,marthas,mcav,30,0.0465,0.0455,0.0325,0.0315,0.0225
MF-MCAV 30M 2.1,marthas,mcav,30,0.1365,0.1355,0.0535,0.0535,0.0195
MF-MCAV 30M 3.1,marthas,mcav,30,0.0815,0.0815,0.0335,0.0335,0.0375
