frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp_1,septa_width,septa,number
cc_10_past_1,coral_city,10,0,past,0.146,0.05,0.043,0.012,0.007,12,
cc_10_past_1,coral_city,10,1,past,0.162,0.058,0.044,0.021,0.008,12,
cc_10_past_1,coral_city,10,8,past,0.162,0.061,0.047,0.05,0.009,12,
cc_10_past_1,coral_city,10,12,past,0.147,0.061,0.039,0.032,0.009,12,
cc_10_past_1,coral_city,10,15,past,0.152,0.063,0.046,0.046,0.009,12,
cc_10_past_1,coral_city,10,16,past,0.149,0.039,0.041,0.027,0.008,12,
cc_10_past_1,coral_city,10,17,past,0.143,0.041,0.046,0.017,0.012,12,
cc_10_past_1,coral_city,10,18,past,0.142,0.059,0.051,0.02,0.008,12,
cc_10_past_1,coral_city,10,19,past,0.14,0.06,0.048,0.028,0.01,12,
cc_10_past_1,coral_city,10,20,past,0.153,0.059,0.05,0.022,0.009,12,
cc_10_past_2,coral_city,10,1,past,0.13,0.047,0.038,0.023,0.009,12,
cc_10_past_2,coral_city,10,3,past,0.13,0.044,0.037,0.02,0.008,12,
cc_10_past_2,coral_city,10,5,past,0.139,0.05,0.038,0.015,0.01,12,
cc_10_past_3,coral_city,10,0,past,0.132,0.048,0.056,0.031,0.012,12,
cc_10_past_3,coral_city,10,1,past,0.11,0.033,0.037,0.029,0.009,12,
cc_10_past_3,coral_city,10,2,past,0.144,0.044,0.044,0.034,0.011,12,
cc_10_past_3,coral_city,10,3,past,0.14,0.036,0.045,0.034,0.015,12,
cc_10_past_5,coral_city,10,5,past,0.123,0.047,0.031,0.018,0.01,12,
cc_10_past_5,coral_city,10,8,past,0.122,0.039,0.033,0.047,0.008,12,
cc_10_past_5,coral_city,10,10,past,0.149,0.072,0.057,0.037,0.017,11,
cc_10_past_5,coral_city,10,11,past,0.139,0.05,0.044,0.047,0.01,12,
cc_10_past_5,coral_city,10,13,past,0.128,0.032,0.037,0.041,0.014,12,
cc_10_past_5,coral_city,10,14,past,0.133,0.054,0.043,0.016,0.015,12,
cc_10_past_5,coral_city,10,17,past,0.123,0.056,0.04,0.02,0.013,12,
cc_10_past_5,coral_city,10,18,past,0.125,0.042,0.042,0.024,0.011,12,
cc_10_past_5,coral_city,10,19,past,0.142,0.051,0.055,0.03,0.007,12,
cc_10_past_6,coral_city,10,1,past,0.134,0.041,0.035,0.048,0.012,12,
cc_10_past_6,coral_city,10,2,past,0.147,0.056,0.037,0.044,0.012,12,
cc_10_past_6,coral_city,10,3,past,0.138,0.053,0.04,0.045,0.012,12,
cc_10_past_6,coral_city,10,4,past,0.12,0.054,0.038,0.068,0.012,12,
cc_10_past_6,coral_city,10,5,past,0.129,0.047,0.043,0.055,0.014,12,
cc_10_past_6,coral_city,10,6,past,0.136,0.045,0.042,0.062,0.013,12,
cc_10_past_6,coral_city,10,7,past,0.142,0.066,0.047,0.047,0.011,12,
cc_10_past_7,coral_city,10,1,past,0.123,0.035,0.036,0.032,0.009,12,
cc_10_past_7,coral_city,10,2,past,0.115,0.047,0.04,0.022,0.012,12,
cc_10_past_7,coral_city,10,3,past,0.113,0.054,0.038,0.021,0.009,12,
cc_10_past_7,coral_city,10,4,past,0.119,0.023,0.034,0.017,0.009,10,
cc_10_past_7,coral_city,10,6,past,0.123,0.048,0.043,0.014,0.014,12,
