            Unix Timestamp,               UTC_Date_&_Time,                 Colombia Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
1678814520,           2023-03-14 17:22:00,           2023-03-14 12:22:00,3.45,28.353,3.1,80,-920,1163
1678815420,           2023-03-14 17:37:00,           2023-03-14 12:37:00,3.56,27.35,434.6,1286,104,224
1678816320,           2023-03-14 17:52:00,           2023-03-14 12:52:00,3.56,27.26,644.4,1217,67,280
1678817220,           2023-03-14 18:07:00,           2023-03-14 13:07:00,3.56,27.251,643.5,1287,96,216
1678818120,           2023-03-14 18:22:00,           2023-03-14 13:22:00,3.56,27.243,614.7,1217,67,284
1678819020,           2023-03-14 18:37:00,           2023-03-14 13:37:00,3.56,27.243,627.9,1295,68,219
1678819920,           2023-03-14 18:52:00,           2023-03-14 13:52:00,3.56,27.243,597.6,1287,97,216
1678820820,           2023-03-14 19:07:00,           2023-03-14 14:07:00,3.56,27.26,577.9,1288,96,216
1678821720,           2023-03-14 19:22:00,           2023-03-14 14:22:00,3.56,27.251,535.6,1295,96,200
1678822620,           2023-03-14 19:37:00,           2023-03-14 14:37:00,3.56,27.268,515.3,1288,99,214
1678823520,           2023-03-14 19:52:00,           2023-03-14 14:52:00,3.56,27.235,489.3,1288,96,208
1678824420,           2023-03-14 20:07:00,           2023-03-14 15:07:00,3.56,27.227,465.9,1288,99,212
1678825320,           2023-03-14 20:22:00,           2023-03-14 15:22:00,3.55,27.202,421.9,1288,97,216
1678826220,           2023-03-14 20:37:00,           2023-03-14 15:37:00,3.55,27.185,370.5,1288,99,211
1678827120,           2023-03-14 20:52:00,           2023-03-14 15:52:00,3.55,27.169,339.1,1287,97,216
1678828020,           2023-03-14 21:07:00,           2023-03-14 16:07:00,3.55,27.194,291.2,1287,99,216
1678828920,           2023-03-14 21:22:00,           2023-03-14 16:22:00,3.55,27.194,253.4,1289,99,216
1678829820,           2023-03-14 21:37:00,           2023-03-14 16:37:00,3.55,27.185,214.7,1288,100,216
1678830720,           2023-03-14 21:52:00,           2023-03-14 16:52:00,3.55,27.169,175.1,1287,97,216
1678831620,           2023-03-14 22:07:00,           2023-03-14 17:07:00,3.55,27.152,134.7,1287,97,220
1678832520,           2023-03-14 22:22:00,           2023-03-14 17:22:00,3.55,27.161,99,1284,100,222
1678833420,           2023-03-14 22:37:00,           2023-03-14 17:37:00,3.55,27.152,69.1,1287,99,220
1678834320,           2023-03-14 22:52:00,           2023-03-14 17:52:00,3.55,27.144,44.1,1287,99,217
1678835220,           2023-03-14 23:07:00,           2023-03-14 18:07:00,3.55,27.136,22.7,1287,100,216
1678836120,           2023-03-14 23:22:00,           2023-03-14 18:22:00,3.55,27.144,8.2,1286,99,216
1678837020,           2023-03-14 23:37:00,           2023-03-14 18:37:00,3.55,27.136,0.9,1287,100,216
1678837920,           2023-03-14 23:52:00,           2023-03-14 18:52:00,3.55,27.161,0.1,1287,96,217
1678838820,           2023-03-15 00:07:00,           2023-03-14 19:07:00,3.55,27.144,-0.2,1216,67,281
1678839720,           2023-03-15 00:22:00,           2023-03-14 19:22:00,3.55,27.144,-0.2,1287,96,220
1678840620,           2023-03-15 00:37:00,           2023-03-14 19:37:00,3.55,27.144,-0.2,1287,96,224
1678841520,           2023-03-15 00:52:00,           2023-03-14 19:52:00,3.54,27.152,0.2,1286,97,224
1678842420,           2023-03-15 01:07:00,           2023-03-14 20:07:00,3.55,27.152,-0.1,1287,99,224
1678843320,           2023-03-15 01:22:00,           2023-03-14 20:22:00,3.54,27.152,0,1287,99,216
1678844220,           2023-03-15 01:37:00,           2023-03-14 20:37:00,3.54,27.128,-0.1,1287,99,222
1678845120,           2023-03-15 01:52:00,           2023-03-14 20:52:00,3.54,27.144,-0.2,1287,100,216
1678846020,           2023-03-15 02:07:00,           2023-03-14 21:07:00,3.54,27.136,0.1,1289,99,209
1678846920,           2023-03-15 02:22:00,           2023-03-14 21:22:00,3.54,27.136,0,1288,99,216
1678847820,           2023-03-15 02:37:00,           2023-03-14 21:37:00,3.54,27.144,-0.2,1216,70,284
1678848720,           2023-03-15 02:52:00,           2023-03-14 21:52:00,3.54,27.136,0.2,1219,71,284
1678849620,           2023-03-15 03:07:00,           2023-03-14 22:07:00,3.54,27.128,-0.2,1288,99,216
1678850520,           2023-03-15 03:22:00,           2023-03-14 22:22:00,3.54,27.119,-0.1,1287,99,220
1678851420,           2023-03-15 03:37:00,           2023-03-14 22:37:00,3.54,27.111,-0.1,1299,79,223
1678852320,           2023-03-15 03:52:00,           2023-03-14 22:52:00,3.54,27.111,0,1294,100,198
1678853220,           2023-03-15 04:07:00,           2023-03-14 23:07:00,3.54,27.094,0,1286,100,220
1678854120,           2023-03-15 04:22:00,           2023-03-14 23:22:00,3.54,27.119,0.1,1288,100,216
1678855020,           2023-03-15 04:37:00,           2023-03-14 23:37:00,3.54,27.111,0,1287,97,220
1678855920,           2023-03-15 04:52:00,           2023-03-14 23:52:00,3.54,27.103,-0.2,1231,73,280
1678856820,           2023-03-15 05:07:00,           2023-03-15 00:07:00,3.54,27.094,0,1287,99,216
1678857720,           2023-03-15 05:22:00,           2023-03-15 00:22:00,3.54,27.07,-0.2,1289,97,214
1678858620,           2023-03-15 05:37:00,           2023-03-15 00:37:00,3.54,27.045,0,1220,70,280
1678859520,           2023-03-15 05:52:00,           2023-03-15 00:52:00,3.54,27.07,0,1287,99,220
1678860420,           2023-03-15 06:07:00,           2023-03-15 01:07:00,3.54,27.07,-0.1,1287,100,216
1678861320,           2023-03-15 06:22:00,           2023-03-15 01:22:00,3.54,27.07,-0.2,1289,102,211
1678862220,           2023-03-15 06:37:00,           2023-03-15 01:37:00,3.54,27.061,0,1299,80,206
1678863120,           2023-03-15 06:52:00,           2023-03-15 01:52:00,3.54,27.07,-0.2,1216,70,284
1678864020,           2023-03-15 07:07:00,           2023-03-15 02:07:00,3.54,27.061,0.3,1228,72,280
1678864920,           2023-03-15 07:22:00,           2023-03-15 02:22:00,3.54,27.086,0,1289,102,210
1678865820,           2023-03-15 07:37:00,           2023-03-15 02:37:00,3.54,27.07,-0.1,1292,99,214
1678866720,           2023-03-15 07:52:00,           2023-03-15 02:52:00,3.54,27.078,-0.3,1288,100,220
1678867620,           2023-03-15 08:07:00,           2023-03-15 03:07:00,3.54,27.094,-0.2,1287,100,216
1678868520,           2023-03-15 08:22:00,           2023-03-15 03:22:00,3.54,27.061,-0.3,1287,99,214
1678869420,           2023-03-15 08:37:00,           2023-03-15 03:37:00,3.54,27.086,0,1287,102,217
1678870320,           2023-03-15 08:52:00,           2023-03-15 03:52:00,3.54,27.078,-0.2,1288,99,216
1678871220,           2023-03-15 09:07:00,           2023-03-15 04:07:00,3.54,27.078,-0.1,1289,102,208
1678872120,           2023-03-15 09:22:00,           2023-03-15 04:22:00,3.54,27.086,-0.1,1284,100,224
1678873020,           2023-03-15 09:37:00,           2023-03-15 04:37:00,3.54,27.061,-0.1,1294,99,200
1678873920,           2023-03-15 09:52:00,           2023-03-15 04:52:00,3.54,27.07,0,1289,99,212
1678874820,           2023-03-15 10:07:00,           2023-03-15 05:07:00,3.54,27.078,-0.3,1246,80,275
1678875720,           2023-03-15 10:22:00,           2023-03-15 05:22:00,3.54,27.086,-0.3,1292,100,203
1678876620,           2023-03-15 10:37:00,           2023-03-15 05:37:00,3.54,27.086,0,1287,99,224
1678877520,           2023-03-15 10:52:00,           2023-03-15 05:52:00,3.54,27.078,-0.2,1287,100,216
1678878420,           2023-03-15 11:07:00,           2023-03-15 06:07:00,3.54,27.078,-0.2,1287,102,216
1678879320,           2023-03-15 11:22:00,           2023-03-15 06:22:00,3.54,27.086,1.1,1288,99,216
1678880220,           2023-03-15 11:37:00,           2023-03-15 06:37:00,3.54,27.094,7.4,1286,100,216
1678881120,           2023-03-15 11:52:00,           2023-03-15 06:52:00,3.54,27.07,18.2,1289,102,216
1678882020,           2023-03-15 12:07:00,           2023-03-15 07:07:00,3.54,27.086,27.2,1288,102,216
1678882920,           2023-03-15 12:22:00,           2023-03-15 07:22:00,3.54,27.07,72.8,1288,100,216
1678883820,           2023-03-15 12:37:00,           2023-03-15 07:37:00,3.54,27.086,121.9,1224,72,280
1678884720,           2023-03-15 12:52:00,           2023-03-15 07:52:00,3.54,27.078,103.5,1286,102,216
1678885620,           2023-03-15 13:07:00,           2023-03-15 08:07:00,3.54,27.094,143,1288,99,220
1678886520,           2023-03-15 13:22:00,           2023-03-15 08:22:00,3.54,27.086,103.8,1292,102,211
1678887420,           2023-03-15 13:37:00,           2023-03-15 08:37:00,3.54,27.078,145.6,1216,70,283
1678888320,           2023-03-15 13:52:00,           2023-03-15 08:52:00,3.54,27.078,184.7,1287,100,220
1678889220,           2023-03-15 14:07:00,           2023-03-15 09:07:00,3.54,27.078,183.7,1299,67,223
1678890120,           2023-03-15 14:22:00,           2023-03-15 09:22:00,3.54,27.086,258.1,1286,99,222
1678891020,           2023-03-15 14:37:00,           2023-03-15 09:37:00,3.54,27.103,144.7,1287,99,216
1678891920,           2023-03-15 14:52:00,           2023-03-15 09:52:00,3.54,27.086,322.9,1287,102,217
1678892820,           2023-03-15 15:07:00,           2023-03-15 10:07:00,3.54,27.078,367.5,1288,100,220
1678893720,           2023-03-15 15:22:00,           2023-03-15 10:22:00,3.54,27.103,320.4,1291,102,208
1678894620,           2023-03-15 15:37:00,           2023-03-15 10:37:00,3.54,27.086,398.2,1287,102,216
1678895520,           2023-03-15 15:52:00,           2023-03-15 10:52:00,3.54,27.094,229.9,1287,102,216
1678896420,           2023-03-15 16:07:00,           2023-03-15 11:07:00,3.54,27.086,216.4,1288,99,216
1678897320,           2023-03-15 16:22:00,           2023-03-15 11:22:00,3.54,27.094,299.6,1287,97,216
1678898220,           2023-03-15 16:37:00,           2023-03-15 11:37:00,3.54,27.086,501.9,1219,71,280
1678899120,           2023-03-15 16:52:00,           2023-03-15 11:52:00,3.54,27.103,132.5,1287,100,220
1678900020,           2023-03-15 17:07:00,           2023-03-15 12:07:00,3.54,27.119,110,1217,70,284
1678900920,           2023-03-15 17:22:00,           2023-03-15 12:22:00,3.54,27.111,148.8,1287,102,216
1678901820,           2023-03-15 17:37:00,           2023-03-15 12:37:00,3.54,27.119,233.7,1287,102,216
1678902720,           2023-03-15 17:52:00,           2023-03-15 12:52:00,3.54,27.144,333.5,1287,100,217
